# Endpoints Catalog - Exact .NET Names
# Updated: 2026-04-20
# This file shows Java endpoints using EXACT .NET endpoint names

Controller | Java Endpoint | .NET Endpoint | Status | Notes
Employee | /Employee/UpdateGovtDoc | Employee/UpdateGovtDoc | IMPLEMENTED | Exact match
Employee | /Employee/DeleteGovtDoc | Employee/DeleteGovtDoc | IMPLEMENTED | Exact match
Employee | /Employee/GetAllEmpAccDetails | Employee/GetAllEmpAccDetails | IMPLEMENTED | Exact match
Employee | /Employee/GetEmpAccDetails | Employee/GetEmpAccDetails | IMPLEMENTED | Exact match
Employee | /Employee/AddEmpAccDetails | Employee/AddEmpAccDetails | IMPLEMENTED | Exact match
Employee | /Employee/UpdateEmpAccDetails | Employee/UpdateEmpAccDetails | IMPLEMENTED | Exact match
Employee | /Employee/DeleteEmpAccDetails | Employee/DeleteEmpAccDetails | IMPLEMENTED | Exact match
Employee | /Employee/UploadFileCareer | Employee/UploadFileCareer | IMPLEMENTED | Exact match
Employee | /Employee/GetAllEmpCareerDetails | Employee/GetAllEmpCareerDetails | IMPLEMENTED | Exact match
Employee | /Employee/GetEmpCareerDetails | Employee/GetEmpCareerDetails | IMPLEMENTED | Exact match
Employee | /Employee/AddEmpCareerDetails | Employee/AddEmpCareerDetails | IMPLEMENTED | Exact match
Employee | /Employee/UpdateEmpCareerDetails | Employee/UpdateEmpCareerDetails | IMPLEMENTED | Exact match
Employee | /Employee/DeleteEmpCareerDetails | Employee/DeleteEmpCareerDetails | IMPLEMENTED | Exact match
Employee | /Employee/GetAllWorkType | Employee/GetAllWorkType | IMPLEMENTED | Exact match
Employee | /Employee/GetWorkType | Employee/GetWorkType | IMPLEMENTED | Exact match
Employee | /Employee/AddWorkType | Employee/AddWorkType | IMPLEMENTED | Exact match
Employee | /Employee/UpdateWorkType | Employee/UpdateWorkType | IMPLEMENTED | Exact match
Employee | /Employee/DeleteWorkType | Employee/DeleteWorkType | IMPLEMENTED | Exact match
Employee | /Employee/GetAllApproverWorkType | Employee/GetAllApproverWorkType | IMPLEMENTED | Exact match
Employee | /Employee/DDEmployeeApprover | Employee/DDEmployeeApprover | IMPLEMENTED | Exact match
Employee | /Employee/GetAllWorkTypeFilter | Employee/GetAllWorkTypeFilter | IMPLEMENTED | Exact match
Employee | /Employee/ApproveWorkType | Employee/ApproveWorkType | IMPLEMENTED | Exact match
Employee | /Employee/RejectWorkType | Employee/RejectWorkType | IMPLEMENTED | Exact match
Employee | /Employee/EmployeeAttendance | Employee/EmployeeAttendance | IMPLEMENTED | Exact match
Employee | /Employee/AttendanceFilter | Employee/AttendanceFilter | IMPLEMENTED | Exact match
Employee | /Employee/EachEmployeeAttendance | Employee/EachEmployeeAttendance | IMPLEMENTED | Exact match
Employee | /Employee/ReportingEmployeeAttendance | Employee/ReportingEmployeeAttendance | IMPLEMENTED | Exact match
Employee | /Employee/OnSiteLogin | Employee/OnSiteLogin | IMPLEMENTED | Exact match
Employee | /Employee/OnSiteLogout | Employee/OnSiteLogout | IMPLEMENTED | Exact match
Employee | /Employee/AddOnSiteData | Employee/AddOnSiteData | IMPLEMENTED | Exact match
Employee | /Employee/GetAllLoginLogs | Employee/GetAllLoginLogs | IMPLEMENTED | Exact match
Employee | /Employee/GetLoginLogs | Employee/GetLoginLogs | IMPLEMENTED | Exact match
Employee | /Employee/GetOnSiteData | Employee/GetOnSiteData | IMPLEMENTED | Exact match
Employee | /Employee/SelectEmployee | Employee/SelectEmployee | IMPLEMENTED | Exact match
Employee | /Employee/GetTotalEmployeeCount | Employee/GetTotalEmployeeCount | IMPLEMENTED | Exact match
Employee | /Employee/GetAttendanceSource | Employee/GetAttendanceSource | IMPLEMENTED | Exact match
Employee | /Employee/DDGetLocation | Employee/DDGetLocation | IMPLEMENTED | Exact match
Employee | /Employee/DDselectEmployee | Employee/DDselectEmployee | IMPLEMENTED | Exact match
Employee | /Employee/GetConsolidatedAttendanceData | Employee/GetConsolidatedAttendanceData | IMPLEMENTED | Exact match
Employee | /Employee/DashboardEmployee | Employee/DashboardEmployee | IMPLEMENTED | Exact match
Employee | /Employee/DashboardDetails | Employee/DashboardDetails | IMPLEMENTED | Exact match
Employee | /Employee/CreateShift | Employee/CreateShift | IMPLEMENTED | Exact match
Employee | /Employee/CreateCompanySetting | Employee/CreateCompanySetting | IMPLEMENTED | Exact match
Employee | /Employee/CheckHalfDayLoss | Employee/CheckHalfDayLoss | IMPLEMENTED | Exact match
Employee | /Employee/GetWorkHours | Employee/GetWorkHours | IMPLEMENTED | Exact match
Employee | /Employee/GetAllPages | Employee/GetAllPages | IMPLEMENTED | Exact match
Employee | /Employee/SubmitAccessControls | Employee/SubmitAccessControls | IMPLEMENTED | Exact match
Employee | /Employee/GetPageById | Employee/GetPageById | IMPLEMENTED | Exact match
Employee | /Employee/UpdatePageModules | Employee/UpdatePageModules | IMPLEMENTED | Exact match
Employee | /Employee/DeletePageModules | Employee/DeletePageModules | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAllAttendance | Attendance/GetAllAttendance | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByEmployee | Attendance/GetAttendanceByEmployee | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByDate | Attendance/GetAttendanceByDate | IMPLEMENTED | Exact match
Attendance | /Attendance/ProcessAttendance | Attendance/ProcessAttendance | IMPLEMENTED | Exact match
Attendance | /Attendance/ManualAttendance | Attendance/ManualAttendance | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceSummary | Attendance/GetAttendanceSummary | IMPLEMENTED | Exact match
Attendance | /Attendance/GetMonthlyAttendance | Attendance/GetMonthlyAttendance | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByMonthYear | Attendance/GetAttendanceByMonthYear | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByWeek | Attendance/GetAttendanceByWeek | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByDateRange | Attendance/GetAttendanceByDateRange | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByDepartment | Attendance/GetAttendanceByDepartment | IMPLEMENTED | Exact match
Attendance | /Attendance/GetOvertimeAttendance | Attendance/GetOvertimeAttendance | IMPLEMENTED | Exact match
Attendance | /Attendance/GetExceptionAttendance | Attendance/GetExceptionAttendance | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByLocation | Attendance/GetAttendanceByLocation | IMPLEMENTED | Exact match
Attendance | /Attendance/GetAttendanceByTeam | Attendance/GetAttendanceByTeam | IMPLEMENTED | Exact match
Holiday | /Holiday/GetAllHoliday | Holiday/GetAllHoliday | IMPLEMENTED | Exact match
Holiday | /Holiday/GetHolidayByLocation | Holiday/GetHolidayByLocation | IMPLEMENTED | Exact match
Holiday | /Holiday/UpdateHolidayStatus | Holiday/UpdateHolidayStatus | IMPLEMENTED | Exact match
Holiday | /Holiday/GetAllHolidays | Holiday/GetAllHolidays | IMPLEMENTED | Exact match
Holiday | /Holiday/GetHolidaySummary | Holiday/GetHolidaySummary | IMPLEMENTED | Exact match
Holiday | /Holiday/AddHolidayType | Holiday/AddHolidayType | IMPLEMENTED | Exact match
Holiday | /Holiday/UpdateHolidayType | Holiday/UpdateHolidayType | IMPLEMENTED | Exact match
Holiday | /Holiday/DeleteHolidayType | Holiday/DeleteHolidayType | IMPLEMENTED | Exact match
Holiday | /Holiday/GetHolidayType | Holiday/GetHolidayType | IMPLEMENTED | Exact match
Holiday | /Holiday/GetHolidayCount | Holiday/GetHolidayCount | IMPLEMENTED | Exact match
Access | /Access/CreatePolicy | Access/CreatePolicy | IMPLEMENTED | Exact match
Access | /Access/GetAllPolicies | Access/GetAllPolicies | IMPLEMENTED | Exact match
Access | /Access/UpdatePolicy | Access/UpdatePolicy | IMPLEMENTED | Exact match
Access | /Access/DeletePolicy | Access/DeletePolicy | IMPLEMENTED | Exact match
Access | /Access/AddRole | Access/AddRole | IMPLEMENTED | Exact match
Access | /Access/GetAccessDetails | Access/GetAccessDetails | IMPLEMENTED | Exact match
Access | /Access/GetAllRoles | Access/GetAllRoles | IMPLEMENTED | Exact match
Access | /Access/GetAllModules | Access/GetAllModules | IMPLEMENTED | Exact match
Access | /Access/UpdateRole | Access/UpdateRole | IMPLEMENTED | Exact match
Access | /Access/DeleteRole | Access/DeleteRole | IMPLEMENTED | Exact match
Access | /Access/GetRole | Access/GetRole | IMPLEMENTED | Exact match
Access | /Access/GetAllRole | Access/GetAllRole | IMPLEMENTED | Exact match
Access | /Access/GetAccessRoles | Access/GetAccessRoles | IMPLEMENTED | Exact match
Access | /Access/GetAllPermissions | Access/GetAllPermissions | IMPLEMENTED | Exact match
Access | /Access/DDRole | Access/DDRole | IMPLEMENTED | Exact match
Access | /Access/AddModule | Access/AddModule | IMPLEMENTED | Exact match
Access | /Access/UpdateModule | Access/UpdateModule | IMPLEMENTED | Exact match
Access | /Access/DeleteModule | Access/DeleteModule | IMPLEMENTED | Exact match
Access | /Access/GetModule | Access/GetModule | IMPLEMENTED | Exact match
Access | /Access/GetAllModule | Access/GetAllModule | IMPLEMENTED | Exact match
Access | /Access/DDModule | Access/DDModule | IMPLEMENTED | Exact match
Access | /Access/AddSubModule | Access/AddSubModule | IMPLEMENTED | Exact match
Access | /Access/UpdateSubModule | Access/UpdateSubModule | IMPLEMENTED | Exact match
Access | /Access/DeleteSubModule | Access/DeleteSubModule | IMPLEMENTED | Exact match
Access | /Access/GetSubModule | Access/GetSubModule | IMPLEMENTED | Exact match
Access | /Access/GetAllSubModule | Access/GetAllSubModule | IMPLEMENTED | Exact match
Access | /Access/DDSubModule | Access/DDSubModule | IMPLEMENTED | Exact match
Access | /Access/AddPageModule | Access/AddPageModule | IMPLEMENTED | Exact match
Access | /Access/UpdatePageModule | Access/UpdatePageModule | IMPLEMENTED | Exact match
Access | /Access/DeletePageModule | Access/DeletePageModule | IMPLEMENTED | Exact match
Access | /Access/GetPageModule | Access/GetPageModule | IMPLEMENTED | Exact match
Access | /Access/GetAllPageModule | Access/GetAllPageModule | IMPLEMENTED | Exact match
Access | /Access/DDPageModule | Access/DDPageModule | IMPLEMENTED | Exact match
Access | /Access/AddDept | Access/AddDept | IMPLEMENTED | Exact match
Access | /Access/UpdateDept | Access/UpdateDept | IMPLEMENTED | Exact match
Access | /Access/DeleteDept | Access/DeleteDept | IMPLEMENTED | Exact match
Access | /Access/GetDept | Access/GetDept | IMPLEMENTED | Exact match
Access | /Access/GetAllDept | Access/GetAllDept | IMPLEMENTED | Exact match
Access | /Access/DDDept | Access/DDDept | IMPLEMENTED | Exact match
Access | /Access/DDAccess | Access/DDAccess | IMPLEMENTED | Exact match
Access | /Access/AddAccess | Access/AddAccess | IMPLEMENTED | Exact match
Access | /Access/DeleteAccess | Access/DeleteAccess | IMPLEMENTED | Exact match
Access | /Access/GetAccess | Access/GetAccess | IMPLEMENTED | Exact match
Access | /Access/GetAllAccess | Access/GetAllAccess | IMPLEMENTED | Exact match
Access | /Access/UpdateAccess | Access/UpdateAccess | IMPLEMENTED | Exact match
Access | /Access/GetAccesspolicy | Access/GetAccesspolicy | IMPLEMENTED | Exact match
Access | /Access/DDCompany | Access/DDCompany | IMPLEMENTED | Exact match
Access | /Access/DDEmployee | Access/DDEmployee | IMPLEMENTED | Exact match
Access | /Access/DDDepartmentEmployee | Access/DDDepartmentEmployee | IMPLEMENTED | Exact match
Access | /Access/DDDesignation | Access/DDDesignation | IMPLEMENTED | Exact match
Access | /Access/DDGrade | Access/DDGrade | IMPLEMENTED | Exact match
Notification | /Notification/CreateNotification | Notification/CreateNotification | IMPLEMENTED | Exact match
Notification | /Notification/GetAllNotifications | Notification/GetAllNotifications | IMPLEMENTED | Exact match
Notification | /Notification/MarkAsRead | Notification/MarkAsRead | IMPLEMENTED | Exact match
Notification | /Notification/DeleteNotification | Notification/DeleteNotification | IMPLEMENTED | Exact match
Notification | /Notification/GetMyNotifications | Notification/GetMyNotifications | IMPLEMENTED | Exact match
Notification | /Notification/GetUnreadCount | Notification/GetUnreadCount | IMPLEMENTED | Exact match
Notification | /Notification/GetNotificationHistory | Notification/GetNotificationHistory | IMPLEMENTED | Exact match
Notification | /Notification/MarkAllAsRead | Notification/MarkAllAsRead | IMPLEMENTED | Exact match
Notification | /Notification/MarkMultipleAsRead | Notification/MarkMultipleAsRead | IMPLEMENTED | Exact match
Notification | /Notification/CleanupOldNotifications | Notification/CleanupOldNotifications | IMPLEMENTED | Exact match
Notification | /Notification/ToggleStar | Notification/ToggleStar | IMPLEMENTED | Exact match
Notification | /Notification/GetNotificationsByDateRange | Notification/GetNotificationsByDateRange | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/DDCompany | BusinessEntity/DDCompany | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/DDLegalEntity | BusinessEntity/DDLegalEntity | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/DDBusinessUnit | BusinessEntity/DDBusinessUnit | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/DDLocation | BusinessEntity/DDLocation | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/GetAllCompany | BusinessEntity/GetAllCompany | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/GetAllLegalEntity | BusinessEntity/GetAllLegalEntity | IMPLEMENTED | Exact match
BusinessEntity | /BusinessEntity/GetAllLocation | BusinessEntity/GetAllLocation | IMPLEMENTED | Exact match
Shift | /Shift/GetAllShift | Shift/GetAllShift | IMPLEMENTED | Exact match
Shift | /Shift/GetShift | Shift/GetShift | IMPLEMENTED | Exact match
Shift | /Shift/AddShift | Shift/AddShift | IMPLEMENTED | Exact match
Shift | /Shift/UpdateShift | Shift/UpdateShift | IMPLEMENTED | Exact match
Shift | /Shift/DeleteShift | Shift/DeleteShift | IMPLEMENTED | Exact match
Shift | /Shift/GetAllShiftGrouping | Shift/GetAllShiftGrouping | IMPLEMENTED | Exact match
Shift | /Shift/AddShiftGrouping | Shift/AddShiftGrouping | IMPLEMENTED | Exact match
Shift | /Shift/DDShift | Shift/DDShift | IMPLEMENTED | Exact match
Shift | /Shift/GetAllShiftEmployee | Shift/GetAllShiftEmployee | IMPLEMENTED | Exact match
Shift | /Shift/AddShiftEmployee | Shift/AddShiftEmployee | IMPLEMENTED | Exact match
Shift | /Shift/RemoveShiftEmployee | Shift/RemoveShiftEmployee | IMPLEMENTED | Exact match
Shift | /Shift/CreateShift | Shift/CreateShift | IMPLEMENTED | Exact match
Shift | /Shift/GetShiftByEmployee | Shift/GetShiftByEmployee | IMPLEMENTED | Exact match
Shift | /Shift/AssignShift | Shift/AssignShift | IMPLEMENTED | Exact match
Dashboard | /Dashboard/GetEmployeeEvents | Dashboard/GetEmployeeEvents | IMPLEMENTED | Exact match
Dashboard | /Dashboard/GetAllHRcount | Dashboard/GetAllHRcount | IMPLEMENTED | Exact match
Dashboard | /Dashboard/GetDashboardSummary | Dashboard/GetDashboardSummary | IMPLEMENTED | Exact match
Dashboard | /Dashboard/GetLeaveStatistics | Dashboard/GetLeaveStatistics | IMPLEMENTED | Exact match
Dashboard | /Dashboard/GetAttendanceStatistics | Dashboard/GetAttendanceStatistics | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/Login | WFHLogin/Login | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/LogOut | WFHLogin/LogOut | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/GetAllWFHDetails | WFHLogin/GetAllWFHDetails | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/GetAllWFHAnalysis | WFHLogin/GetAllWFHAnalysis | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/GetAllWFHFilterDetails | WFHLogin/GetAllWFHFilterDetails | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/SaveWFHAnalysis | WFHLogin/SaveWFHAnalysis | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/WFHEmpList | WFHLogin/WFHEmpList | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/GetAllWFHDays | WFHLogin/GetAllWFHDays | IMPLEMENTED | Exact match
WFHLogin | /WFHLogin/ViewScreenShots | WFHLogin/ViewScreenShots | IMPLEMENTED | Exact match
Visitor | /Visitor/GetAllVisitor | Visitor/GetAllVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/GetVisitor | Visitor/GetVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/AddVisitor | Visitor/AddVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/UpdateVisitor | Visitor/UpdateVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/DeleteVisitor | Visitor/DeleteVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/ApproveVisitor | Visitor/ApproveVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/RejectVisitor | Visitor/RejectVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/CheckInVisitor | Visitor/CheckInVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/CheckOutVisitor | Visitor/CheckOutVisitor | IMPLEMENTED | Exact match
Visitor | /Visitor/GetVisitorHistory | Visitor/GetVisitorHistory | IMPLEMENTED | Exact match
Visitor | /Visitor/DDVisitorType | Visitor/DDVisitorType | IMPLEMENTED | Exact match
Leave | /Leave/GetAllLeaveType | Leave/GetAllLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/GetLeaveType | Leave/GetLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/AddLeaveType | Leave/AddLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/UpdateLeaveType | Leave/UpdateLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/DeleteLeaveType | Leave/DeleteLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/ActivateLeaveType | Leave/ActivateLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/DeactivateLeaveType | Leave/DeactivateLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/DDLeaveType | Leave/DDLeaveType | IMPLEMENTED | Exact match
Leave | /Leave/DDApproveManager | Leave/DDApproveManager | IMPLEMENTED | Exact match
Leave | /Leave/CompOffLeave | Leave/CompOffLeave | IMPLEMENTED | Exact match
Leave | /Leave/CompOffHours | Leave/CompOffHours | IMPLEMENTED | Exact match
Leave | /Leave/GetAllEmpCompOffLeave | Leave/GetAllEmpCompOffLeave | IMPLEMENTED | Exact match
Leave | /Leave/GetAllCompOffLeave | Leave/GetAllCompOffLeave | IMPLEMENTED | Exact match
Leave | /Leave/ApproveCompOff | Leave/ApproveCompOff | IMPLEMENTED | Exact match
Leave | /Leave/RejectCompOff | Leave/RejectCompOff | IMPLEMENTED | Exact match
Leave | /Leave/DraftLeave | Leave/DraftLeave | IMPLEMENTED | Exact match
Leave | /Leave/ApplyLeave | Leave/ApplyLeave | IMPLEMENTED | Exact match
Leave | /Leave/DraftApplyLeave | Leave/DraftApplyLeave | IMPLEMENTED | Exact match
Leave | /Leave/WithDrawLeave | Leave/WithDrawLeave | IMPLEMENTED | Exact match
Leave | /Leave/CancelLeave | Leave/CancelLeave | IMPLEMENTED | Exact match
Leave | /Leave/DeleteDraftLeave | Leave/DeleteDraftLeave | IMPLEMENTED | Exact match
Leave | /Leave/GetAllLeave | Leave/GetAllLeave | IMPLEMENTED | Exact match
Leave | /Leave/GetAllApplyManagerLeave | Leave/GetAllApplyManagerLeave | IMPLEMENTED | Exact match
Leave | /Leave/GetAllManagerLeave | Leave/GetAllManagerLeave | IMPLEMENTED | Exact match
Leave | /Leave/ApproveLeaveByManager | Leave/ApproveLeaveByManager | IMPLEMENTED | Exact match
Leave | /Leave/RejectLeaveByManager | Leave/RejectLeaveByManager | IMPLEMENTED | Exact match
Leave | /Leave/GetAllApplyHRLeave | Leave/GetAllApplyHRLeave | IMPLEMENTED | Exact match
Leave | /Leave/GetAllHRLeave | Leave/GetAllHRLeave | IMPLEMENTED | Exact match
Leave | /Leave/ApproveLeaveByHR | Leave/ApproveLeaveByHR | IMPLEMENTED | Exact match
Leave | /Leave/RejectLeaveByHR | Leave/RejectLeaveByHR | IMPLEMENTED | Exact match
Leave | /Leave/GetLeaveBalance | Leave/GetLeaveBalance | IMPLEMENTED | Exact match
Leave | /Leave/LeaveRequestCount | Leave/LeaveRequestCount | IMPLEMENTED | Exact match
Leave | /Leave/LeaveRequestList | Leave/LeaveRequestList | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayrollSymbols | Payroll/DDPayrollSymbols | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayrollFrequency | Payroll/DDPayrollFrequency | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayrollPayoutType | Payroll/DDPayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllPayrollPayoutType | Payroll/GetAllPayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/GetPayrollPayoutType | Payroll/GetPayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/AddPayrollPayoutType | Payroll/AddPayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/UpdatePayrollPayoutType | Payroll/UpdatePayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/DeletePayrollPayoutType | Payroll/DeletePayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/ActivatePayrollPayoutType | Payroll/ActivatePayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/DeactivatePayrollPayoutType | Payroll/DeactivatePayrollPayoutType | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayrollSegment | Payroll/DDPayrollSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllPayrollPayoutTypeSegment | Payroll/GetAllPayrollPayoutTypeSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllPayrollSegment | Payroll/GetAllPayrollSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/GetPayrollSegment | Payroll/GetPayrollSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/AddPayrollSegment | Payroll/AddPayrollSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/UpdatePayrollSegment | Payroll/UpdatePayrollSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/DeletePayrollSegment | Payroll/DeletePayrollSegment | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayrollEmpList | Payroll/DDPayrollEmpList | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayrollComponent | Payroll/DDPayrollComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/AddComponent | Payroll/AddComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllComponentDetails | Payroll/GetAllComponentDetails | IMPLEMENTED | Exact match
Payroll | /Payroll/EmpCTCCalculation | Payroll/EmpCTCCalculation | IMPLEMENTED | Exact match
Payroll | /Payroll/EmpPayslipGeneration | Payroll/EmpPayslipGeneration | IMPLEMENTED | Exact match
Payroll | /Payroll/DDPayslipSection | Payroll/DDPayslipSection | IMPLEMENTED | Exact match
